process_id,name,unit,category,geography,reference_year,data_type,source_id,gwp_fossil,gwp_min,gwp_max,adp_fossil_MJ,ecoinvent_proxy,profile_proxy,pedigree_R,pedigree_C,pedigree_T,pedigree_G,pedigree_F,basic_uncertainty,notes
sodium_hydroxide,"Sodium hydroxide (chlor-alkali, 100 % NaOH basis)",kg,chemical,RER,2020,estimate,PORTER2021,1.20,0.80,1.60,20.0,"market for sodium hydroxide, without water, in 50% solution state | GLO",electricity_DE_lv,3,3,3,2,2,1.05,"Membrane cell chlor-alkali, Europe."
sulfuric_acid,Sulfuric acid (100 % basis),kg,chemical,RER,2020,estimate,PORTER2021,0.15,0.05,0.30,2.0,market for sulfuric acid | sulfuric acid | RER,heat_natural_gas,3,3,3,2,2,1.05,Contact process; often by-product of smelting.
yeast_extract,"Yeast extract, powder",kg,medium_component,EU,2023,literature,CARBONCLOUD2023,3.32,1.50,8.00,40.0,fodder yeast (proxy used in literature) / no ecoinvent dataset,agb_sugar_white,3,2,1,2,2,1.05,CarbonCloud verified product report (EU). Proxy practice: fodder yeast (Becker et al. 2023).
tryptone_casein,"Tryptone / casein peptone (pancreatic digest of casein, spray dried)",kg,medium_component,EU,2020,proxy,BECKER2023,12.0,5.0,25.0,60.0,soybean meal (proxy used in literature) — better: casein/caseinate + enzymatic hydrolysis + spray drying,agb_skimmed_milk_powder,4,3,3,2,4,1.05,Estimate: casein from milk (~10–15 kg CO2e/kg with dairy allocation) + hydrolysis/drying (~1). Very uncertain; flagged for sensitivity.
peptone_generic,"Peptone, generic (meat/casein/plant digest)",kg,medium_component,EU,2020,proxy,BECKER2023,5.0,2.0,15.0,40.0,fodder yeast / soybean meal (proxy),agb_gelatine_dried,4,3,3,2,4,1.05,Mixed-origin protein hydrolysate; uncertain.
soy_peptone,Soy peptone / soytone (papaic digest of soybean meal),kg,medium_component,EU,2020,proxy,BECKER2023,2.5,1.0,5.0,25.0,soybean meal + processing (proxy),agb_soya_flour,4,3,3,2,3,1.05,Soy protein products 1–4 kg CO2e/kg + hydrolysis/drying.
beef_extract,Beef extract / Lab-Lemco (meat by-product concentrate),kg,medium_component,EU,2020,proxy,BECKER2023,5.0,2.0,15.0,40.0,"meat by-products, economic allocation (proxy)",agb_gelatine_dried,4,3,3,2,4,1.05,Uncertain; economic allocation of slaughter by-products.
glucose,Glucose (dextrose) from starch hydrolysis,kg,medium_component,EU,2020,estimate,PORTER2021,0.90,0.50,1.50,12.0,market for glucose | glucose | GLO,agb_maize_starch,3,3,3,2,2,1.05,Ecoinvent-based literature range.
dipotassium_phosphate,Dipotassium hydrogen phosphate,kg,medium_component,RER,2020,estimate,PORTER2021,1.50,1.00,3.00,20.0,market for potassium phosphate / phosphoric acid + KOH (proxy),lime_CaO,4,3,3,2,3,1.05,Estimate from H3PO4 + KOH.
malt_extract,Malt extract (concentrated wort),kg,medium_component,EU,2020,estimate,BECKER2023,1.20,0.80,2.00,15.0,malt production + evaporation (proxy),agb_sugar_white,4,3,3,2,3,1.05,Barley malt ≈0.9 kg CO2e/kg + evaporation energy.
chicken_feathers_waste,"Raw chicken feathers, slaughterhouse by-product (secondary material, cut-off)",kg,secondary_material,CZ,2025,secondary_material,OTTOVA2026,0.0,0.0,0.30,0.0,"waste, cut-off (no burden); alternative: economic allocation of broiler production",,1,1,1,1,1,1.00,EN 15804 polluter-pays: zero burden at collection. gwp_max reflects an economic-allocation sensitivity value (feathers ≈0.5 % of broiler value).
waste_gypsum_plaster,"Waste gypsum plaster from recycled plasterboard (secondary material, cut-off; grinding modelled separately)",kg,secondary_material,CZ,2025,secondary_material,NEZERKA2026PRE,0.0,0.0,0.0224,0.0,"waste, cut-off; comparison: ÖKOBAUDAT gypsum stone ground 0.00224 kg CO2e/kg",,1,1,1,1,1,1.00,Zero burden; processing electricity is in the protocol (A1).
wcf_waste_concrete_fines,"Waste concrete fines / demolition fines at recycling yard (secondary material, cut-off; processing modelled separately)",kg,secondary_material,CZ,2025,secondary_material,NEZERKA2023LCA,0.0,0.0,0.0,0.0,"waste, cut-off",,1,1,1,1,1,1.00,Zero burden; crushing/milling electricity and mill wear are in the material processing chain.
chromium_steel_mill_parts,Chromium steel (wear parts of high-speed mill),kg,material,RER,2020,estimate,NEZERKA2023LCA,4.5,3.0,6.5,60.0,"market for steel, chromium steel 18/8 | GLO",electricity_DE_lv,3,3,3,2,2,1.05,Used for mill wear 268 g/t RCF (Nežerka et al. 2023).
magnesium_oxide,Magnesium oxide (calcined magnesite),kg,chemical,RER,2020,estimate,PORTER2021,1.20,0.80,2.00,10.0,market for magnesium oxide | magnesium oxide | GLO,lime_CaO,3,3,3,2,2,1.05,For struvite precipitation scenario.
phosphoric_acid,"Phosphoric acid (100 % H3PO4 basis, wet process)",kg,chemical,RER,2020,estimate,PORTER2021,1.50,1.00,2.50,20.0,"market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO",lime_CaO,3,3,3,2,2,1.05,For struvite precipitation scenario.
water_deionised,"Deionised / distilled water (reverse osmosis + EDI, laboratory grade)",kg,water,CZ,2023,estimate,OBD2024II,0.0015,0.0005,0.005,0.02,"market for water, deionised | water, deionised | Europe without Switzerland",electricity_DE_lv,3,3,2,2,2,1.05,≈2–3 kWh/m3 electricity for RO/EDI at 0.55 kg CO2e/kWh plus tap water.
ammonium_sulfate_credit,"Ammonium sulfate fertiliser (avoided production credit, module D only)",kg,credit,RER,2020,estimate,FERTEUROPE2018,0.45,0.30,0.80,6.0,market for ammonium sulfate | ammonium sulfate | RER,heat_natural_gas,3,3,3,2,2,1.05,Used only when module D credits are switched on (recovered N by-product).
calcium_acetate,"Calcium acetate, anhydrous (petrochemical acetic acid + hydrated lime)",kg,chemical,RER,2020,estimate,PORTER2021,1.70,1.00,3.00,45.0,"acetic acid production, product in 98% solution state | RER + lime, hydrated",heat_natural_gas,3,3,3,2,3,1.05,"Stoichiometric estimate: 0.76 kg acetic acid (1.556 kg CO2e/kg, ecoinvent v2.2 via Porter 2021; 53.35 MJ/kg) + 0.47 kg Ca(OH)2 (1.12) + drying."
calcium_acetate_bio,"Calcium acetate from bio-derived acetic acid (biomass pyrolysis) and limestone (Choi et al. 2017)",kg,chemical,GLO,2017,estimate,CHOI2017,0.60,0.30,1.50,10.0,"no dataset; bio-acetic acid + limestone",agb_sugar_white,4,3,3,3,4,1.05,"Order-of-magnitude estimate for the biomass-derived route; carbon origin biogenic."
acetic_acid,"Acetic acid, petrochemical (methanol carbonylation), 100 %",kg,chemical,RER,2010,literature,PORTER2021,1.556,1.00,2.20,53.35,"market for acetic acid, without water, in 98% solution state | RER",heat_natural_gas,2,3,4,2,1,1.05,"ecoinvent v2.2 value reported by Porter et al. (2021)."
calcium_nitrate,"Calcium nitrate tetrahydrate (nitric acid + limestone)",kg,chemical,RER,2020,estimate,PORTER2021,2.00,1.20,3.50,20.0,"market for calcium nitrate | calcium nitrate | RER",heat_natural_gas,4,3,3,2,3,1.05,"0.77 kg HNO3 per kg (nitric acid 2-3 kg CO2e/kg incl. N2O) + limestone; denitrification route (Porter 2021: nitrate reduction has the highest carbon footprint)."
sodium_nitrate,"Sodium nitrate (nitric acid + soda ash)",kg,chemical,RER,2020,estimate,PORTER2021,1.50,1.00,3.00,15.0,"market for sodium nitrate | sodium nitrate | GLO",heat_natural_gas,4,3,3,2,3,1.05,"Estimate."
sodium_acetate,"Sodium acetate (acetic acid + sodium hydroxide)",kg,chemical,RER,2020,estimate,PORTER2021,1.60,1.00,2.50,40.0,"market for sodium acetate | GLO (proxy)",heat_natural_gas,4,3,3,2,3,1.05,"0.73 kg acetic acid + 0.49 kg NaOH."
calcium_hydroxide,"Hydrated lime Ca(OH)2 (quicklime slaked)",kg,chemical,DE,2023,estimate,OBD2024II,1.12,0.90,1.40,5.0,"market for lime, hydrated, packed | RER",lime_CaO,2,2,1,2,1,1.05,"0.757 kg CaO (OEKOBAUDAT 1.463 kg CO2e/kg) per kg Ca(OH)2 + slaking; process CO2 of calcination included."
calcium_carbonate_limestone,"Ground limestone (calcium carbonate), quarry product",kg,chemical,RER,2020,estimate,OBD2024II,0.03,0.01,0.06,0.5,"market for limestone, crushed, for mill | RoW",sand_0_2,3,3,2,2,2,1.05,"Quarrying + grinding; no process CO2."
eggshell_powder_waste,"Eggshell powder (food-industry waste, cut-off; grinding only)",kg,secondary_material,CZ,2016,secondary_material,CHOI2017,0.01,0.0,0.05,0.1,"waste, cut-off",,2,2,2,2,2,1.00,"Zero burden at collection; ~10 kWh/t grinding."
corn_steep_liquor,"Corn steep liquor, by-product of maize wet milling (economic allocation)",kg,medium_component,EU,2020,estimate,ACHAL2009,0.30,0.10,0.80,4.0,"maize starch production by-product (proxy)",agb_maize_starch,4,3,3,2,3,1.05,"Low-value by-product; economic allocation of the wet-milling burden."
lactose_mother_liquor,"Lactose mother liquor, dairy by-product (economic allocation)",kg,medium_component,EU,2020,estimate,ACHAL2009,0.20,0.05,0.60,3.0,"whey/lactose production by-product (proxy)",agb_skimmed_milk_powder,4,3,3,2,3,1.05,"Low-value by-product of lactose crystallisation."
chicken_manure_effluent_waste,"Chicken manure biogas-plant effluent (waste, cut-off)",kg,secondary_material,CZ,2016,secondary_material,YOOSATHAPORN2016,0.0,0.0,0.05,0.0,"waste, cut-off",,2,2,2,3,2,1.00,"Zero burden; transport modelled in the protocol."
jack_bean_meal,"Jack bean meal (crude urease for EICP; legume flour proxy)",kg,medium_component,GLO,2020,proxy,ALOTAIBI2022,1.00,0.50,2.00,10.0,"soybean production (proxy used by Alotaibi et al. 2022)",agb_soya_flour,4,3,3,4,3,1.05,"Alotaibi et al. (2022) substituted soybean farming/processing for jack beans."
ammonium_sulfate,"Ammonium sulfate (by-product of caprolactam or direct synthesis)",kg,chemical,RER,2020,estimate,FERTEUROPE2018,0.45,0.30,0.80,6.0,"market for ammonium sulfate | ammonium sulfate | RER",heat_natural_gas,3,3,3,2,2,1.05,"Fertiliser-grade."
ammonium_chloride,"Ammonium chloride",kg,chemical,RER,2020,estimate,PORTER2021,1.20,0.80,2.00,15.0,"market for ammonium chloride | GLO",heat_natural_gas,4,3,3,2,3,1.05,"Estimate from ammonia + HCl."
magnesium_sulfate,"Magnesium sulfate heptahydrate (kieserite / Epsom salt)",kg,chemical,RER,2020,estimate,PORTER2021,0.40,0.20,0.80,5.0,"market for magnesium sulfate | GLO",lime_CaO,3,3,3,2,2,1.05,"Mineral-derived."
magnesium_chloride,"Magnesium chloride hexahydrate (from brine)",kg,chemical,RER,2020,estimate,PORTER2021,0.50,0.30,1.00,6.0,"market for magnesium chloride | GLO",lime_CaO,3,3,3,2,2,1.05,"Brine evaporation."
nickel_chloride,"Nickel(II) chloride (trace urease cofactor)",kg,chemical,GLO,2020,estimate,PORTER2021,8.0,4.0,15.0,100.0,"market for nickel chloride | GLO (proxy: nickel + HCl)",electricity_DE_lv,4,3,3,3,3,1.05,"Negligible mass (10 umol/L); high per-kg burden."
agar,"Agar (seaweed extract, solid media)",kg,medium_component,GLO,2020,estimate,BECKER2023,5.0,2.0,10.0,60.0,"no dataset; seaweed harvesting + extraction (proxy)",agb_sugar_white,4,3,3,3,3,1.05,"Only for agar plates (inoculum), negligible mass."
